  0.0000000000    0.0036000000
  0.0000500000    0.0006000000    299    19
  0.0769921839    0.0768589079    0.0766321719    0.0763876140    0.0761355460
  0.0758785307    0.0756175220    0.0753529370    0.0750848353    0.0748133361
  0.0745384395    0.0742600262    0.0739780962    0.0736925900    0.0734033287
  0.0731103122    0.0728133619    0.0725124180    0.0722073019    0.0718978941
  0.0715840757    0.0712656677    0.0709425509    0.0706145465    0.0702814162
  0.0699431598    0.0695993602    0.0692498982    0.0688945949    0.0685332119
  0.0681654513    0.0677910149    0.0674097836    0.0670212805    0.0666253269
  0.0662215054    0.0658093989    0.0653887093    0.0649590194    0.0645199716
  0.0640708506    0.0636113584    0.0631408989    0.0626589358    0.0621647537
  0.0616579354    0.0611374676    0.0606028140    0.0600530803    0.0594874322
  0.0589050949    0.0583049953    0.0576858819    0.0570470989    0.0563870370
  0.0557041466    0.0549971759    0.0542640984    0.0535023510    0.0527088940
  0.0518802106    0.0510108173    0.0500942767    0.0491214693    0.0480808318
  0.0469557941    0.0457243025    0.0443560183    0.0428082049    0.0410203636
  0.0388996899    0.0362972915    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0344451964    0.0344451964    0.0344451964    0.0344451964    0.0344451964
  0.0792640746    0.0791644156    0.0789771378    0.0787682831    0.0785506070
  0.0783276260    0.0781006515    0.0778702796    0.0776369870    0.0774007738
  0.0771617591    0.0769199431    0.0766754448    0.0764281452    0.0761780441
  0.0759251416    0.0756693184    0.0754105151    0.0751487315    0.0748838484
  0.0746158659    0.0743446648    0.0740701258    0.0737921298    0.0735107362
  0.0732257068    0.0729369819    0.0726445019    0.0723480284    0.0720475614
  0.0717429221    0.0714339912    0.0711206496    0.0708026588    0.0704800189
  0.0701524913    0.0698197782    0.0694818795    0.0691384971    0.0687895715
  0.0684346259    0.0680736601    0.0677062571    0.0673321784    0.0669514239
  0.0665633380    0.0661677420    0.0657643974    0.0653527677    0.0649326742
  0.0645035803    0.0640651286    0.0636167824    0.0631582439    0.0626886785
  0.0622077286    0.0617149770    0.0612095296    0.0606907308    0.0601580441
  0.0596106350    0.0590479076    0.0584686100    0.0578720868    0.0572573841
  0.0566236079    0.0559692681    0.0552930534    0.0545934737    0.0538685024
  0.0531160533    0.0523329675    0.0515152514    0.0506578982    0.0497542918
  0.0487963855    0.0477710664    0.0466647446    0.0454551876    0.0441156328
  0.0426066816    0.0408766568    0.0388477743    0.0364020169    0.0354005992
