  0.0000000000    0.0036000000
  0.0000500000    0.0006000000    299    19
  0.0759395659    0.0757407844    0.0755091012    0.0752740800    0.0750363767
  0.0747961700    0.0745532811    0.0743077695    0.0740595162    0.0738085806
  0.0735548437    0.0732982457    0.0730387270    0.0727762282    0.0725106299
  0.0722419322    0.0719700158    0.0716948211    0.0714162886    0.0711342990
  0.0708487332    0.0705594718    0.0702665746    0.0699697435    0.0696690381
  0.0693642199    0.0690552294    0.0687418878    0.0684241354    0.0681017935
  0.0677746236    0.0674426258    0.0671055019    0.0667631328    0.0664152801
  0.0660617054    0.0657023489    0.0653367937    0.0649648607    0.0645861924
  0.0642006695    0.0638078153    0.0634072721    0.0629987419    0.0625816882
  0.0621558130    0.0617204010    0.0612750351    0.0608190596    0.0603518784
  0.0598726571    0.0593803227    0.0588742197    0.0583530366    0.0578157008
  0.0572604835    0.0566859543    0.0560902655    0.0554706156    0.0548245609
  0.0541491807    0.0534400046    0.0526921451    0.0518991053    0.0510538518
  0.0501447618    0.0491575897    0.0480727255    0.0468590558    0.0454679430
  0.0438153446    0.0417243540    0.0387011468    0.0328018367    0.0328018367
