  0.0000000000    0.4550000000
  0.0100000000    0.1000000000    349    199
  -0.0000004193    -0.0007504144    -0.0014996424    -0.0022479329    -0.0029954174
  -0.0037425843    -0.0044898596    -0.0052369568    -0.0059821400    -0.0067215660
  -0.0074489585    -0.0081560186    -0.0088332233    -0.0094711426    -0.0100617799
  -0.0105996802    -0.0110825887    -0.0115116909    -0.0118915507    -0.0122298858
  -0.0125374743    -0.0128284732    -0.0131218895    -0.0134446654    -0.0138375893
  -0.0143614027    -0.0150697646    -0.0150529888    -0.0122775319    -0.0095290014
  -0.0068078855    -0.0041151449    -0.0014510354    0.0011847606    0.0037905309
  0.0063667712    0.0089133421    0.0114301816    0.0139174911    0.0163753095
  0.0188037685    0.0212032166    0.0235738632    0.0259161422    0.0282303402
  0.0305169687    0.0327763531    0.0350090590    0.0372156677    0.0393967679
  0.0415525690    0.0436840859    0.0457917604    0.0478760108    0.0499376741
